,As:1,As:2,As:3,As:4,As:5,As:6,Qz:1,Qz:2,Qz:3,Qz:4,Qz:5,Qz:6,Qz:7,Qz:8,S-I,S-II,Final,Proj
1,57.99999999999999,0.0,47.0,0.0,,,65.0,0.0,37.5,50.0,0.0,30.0,,,45.0,47.2,51.93333333333333,
2,45.0,75.83333333333333,43.0,0.0,,,20.0,50.0,43.75,0.0,15.0,50.0,,,36.666666666666664,52.66666666666667,47.31111111111111,
3,0.0,35.0,40.0,0.0,,,45.0,0.0,50.0,50.0,0.0,0.0,,,33.33333333333333,30.866666666666664,33.15555555555555,
4,31.0,75.83333333333333,69.0,0.0,,,35.0,0.0,56.25,40.0,20.0,10.0,,,29.133333333333333,43.6,40.51111111111111,
5,0.0,62.5,79.0,0.0,,,50.0,0.0,50.0,60.0,0.0,85.0,,,63.33333333333333,33.6,50.84444444444445,
6,56.49999999999999,54.166666666666664,87.0,87.5,,,50.0,40.0,43.75,60.0,30.0,40.0,,,50.0,44.46666666666667,35.82222222222222,
7,38.0,50.0,51.0,0.0,,,15.0,0.0,31.25,0.0,0.0,80.0,,,24.133333333333333,29.06666666666667,20.46666666666667,
8,34.5,65.83333333333333,56.00000000000001,85.0,,,35.0,50.0,12.5,0.0,0.0,20.0,,,31.666666666666664,30.866666666666664,55.84444444444444,
9,72.0,0.0,85.0,97.5,,,60.0,30.0,31.25,0.0,60.0,20.0,,,81.66666666666667,77.2,73.46666666666667,
10,34.0,71.66666666666667,54.0,62.5,,,40.0,0.0,37.5,50.0,0.0,10.0,,,43.333333333333336,46.266666666666666,60.044444444444444,
11,48.0,82.5,55.00000000000001,60.0,,,50.0,60.0,56.25,70.0,0.0,20.0,,,60.8,39.06666666666666,54.57777777777777,
12,54.0,73.33333333333333,27.0,83.75,,,40.0,40.0,81.25,0.0,30.0,20.0,,,35.8,15.4,24.11111111111111,
13,63.0,65.83333333333333,78.0,56.25,,,70.0,30.0,56.25,70.0,15.0,0.0,,,49.13333333333333,67.26666666666667,72.84444444444445,
14,81.5,87.5,81.0,97.5,,,55.00000000000001,0.0,81.25,70.0,60.0,50.0,,,50.0,78.99999999999999,86.02222222222223,
15,82.5,65.83333333333333,76.0,72.5,,,100.0,60.0,56.25,95.0,30.0,50.0,,,55.8,77.2,80.0,
16,52.5,79.16666666666666,75.0,0.0,,,60.0,20.0,43.75,30.0,5.0,0.0,,,26.666666666666668,54.46666666666666,50.044444444444444,
17,49.0,80.83333333333333,88.0,91.25,,,35.0,50.0,56.25,60.0,30.0,50.0,,,40.0,49.93333333333334,53.24444444444445,
18,44.5,65.0,0.0,58.75,,,55.00000000000001,0.0,43.75,0.0,0.0,0.0,,,45.0,30.866666666666664,41.82222222222222,
19,33.5,64.16666666666667,42.0,0.0,,,0.0,0.0,31.25,20.0,10.0,30.0,,,31.666666666666664,30.866666666666664,34.355555555555554,
20,56.00000000000001,65.83333333333333,96.0,91.25,,,75.0,0.0,81.25,80.0,75.0,0.0,,,56.666666666666664,95.4,80.86666666666666,
21,81.5,73.33333333333333,62.0,0.0,,,30.0,10.0,43.75,20.0,0.0,65.0,,,40.0,30.866666666666664,35.02222222222222,
22,46.0,64.16666666666667,49.0,0.0,,,50.0,20.0,31.25,50.0,5.0,60.0,,,26.666666666666668,23.6,50.911111111111104,
23,37.0,0.0,91.0,90.0,,,0.0,0.0,31.25,60.0,30.0,30.0,,,43.333333333333336,53.599999999999994,60.88888888888888,
24,48.0,70.0,67.0,63.74999999999999,,,65.0,0.0,50.0,0.0,0.0,30.0,,,45.0,31.73333333333333,56.022222222222226,
25,16.0,62.5,77.0,86.25,,,0.0,0.0,43.75,50.0,5.0,10.0,,,36.666666666666664,18.133333333333333,23.2,
26,79.5,59.166666666666664,75.0,88.75,,,70.0,0.0,43.75,50.0,50.0,90.0,,,55.00000000000001,58.13333333333334,77.86666666666666,
27,61.5,0.0,85.0,85.0,,,50.0,10.0,56.25,30.0,35.0,40.0,,,52.466666666666676,68.13333333333334,77.13333333333333,
28,26.5,0.0,0.0,46.25,,,0.0,0.0,31.25,20.0,5.0,40.0,,,25.0,39.93333333333334,32.68888888888889,
29,60.5,0.0,93.0,70.0,,,55.00000000000001,70.0,25.0,30.0,40.0,30.0,,,58.333333333333336,58.13333333333334,67.86666666666666,
30,32.0,57.49999999999999,68.0,83.75,,,50.0,0.0,31.25,0.0,0.0,0.0,,,8.333333333333332,16.333333333333336,42.71111111111111,
31,37.0,84.16666666666667,81.0,88.75,,,70.0,60.0,56.25,80.0,75.0,10.0,,,73.33333333333333,84.46666666666667,87.3111111111111,
32,46.0,55.833333333333336,80.0,88.75,,,0.0,0.0,62.5,0.0,0.0,20.0,,,43.333333333333336,58.13333333333334,66.75555555555556,
33,40.0,0.0,55.00000000000001,77.5,,,50.0,60.0,25.0,50.0,0.0,80.0,,,48.333333333333336,48.13333333333333,49.08888888888889,
